match_id,game_duration,game_mode
EUW1_7903341045,1466,CLASSIC
EUW1_7903290156,1557,CLASSIC
EUW1_7902704020,1269,CLASSIC
EUW1_7902638931,1357,CLASSIC
EUW1_7902583750,1710,CLASSIC
EUW1_7901418671,1660,CLASSIC
EUW1_7901378322,1287,CLASSIC
EUW1_7894202735,1544,CLASSIC
EUW1_7894172507,1487,CLASSIC
EUW1_7894114405,1913,CLASSIC
EUW1_7898064872,1660,CLASSIC
EUW1_7897980110,1324,CLASSIC
EUW1_7897921719,1869,CLASSIC
EUW1_7897827044,2145,CLASSIC
EUW1_7897765817,1854,CLASSIC
EUW1_7897707895,2387,CLASSIC
EUW1_7897667695,1812,CLASSIC
EUW1_7897635382,945,CLASSIC
EUW1_7897598823,1781,CLASSIC
EUW1_7897562067,1405,CLASSIC
EUW1_7906197322,2251,CLASSIC
EUW1_7906184265,1135,CLASSIC
EUW1_7906162289,1660,CLASSIC
EUW1_7906142334,1680,CLASSIC
EUW1_7906132009,1490,CLASSIC
EUW1_7906115198,1740,CLASSIC
EUW1_7906105845,2165,CLASSIC
EUW1_7906095247,2153,CLASSIC
EUW1_7906093710,2107,CLASSIC
EUW1_7906090651,1879,CLASSIC
EUW1_7906285565,76,CLASSIC
EUW1_7906251451,1588,CLASSIC
EUW1_7906223622,2082,CLASSIC
EUW1_7906199766,1620,CLASSIC
EUW1_7906040982,1897,CLASSIC
EUW1_7906014830,1827,CLASSIC
EUW1_7905976074,1976,CLASSIC
EUW1_7905947711,1552,CLASSIC
EUW1_7905886540,1872,CLASSIC
EUW1_7905825803,1508,CLASSIC
EUW1_7905779330,1455,CLASSIC
EUW1_7905736517,1466,CLASSIC
EUW1_7905667402,1827,CLASSIC
EUW1_7905616278,1806,CLASSIC
EUW1_7905577961,1622,CLASSIC
EUW1_7905525931,1845,CLASSIC
EUW1_7906084251,1548,CLASSIC
EUW1_7906078353,1527,CLASSIC
EUW1_7906080698,1543,CLASSIC
EUW1_7906073506,1709,CLASSIC
EUW1_7906057063,1506,CLASSIC
EUW1_7906046706,1297,CLASSIC
EUW1_7906021420,1961,CLASSIC
EUW1_7905995791,1760,CLASSIC
EUW1_7906045584,1558,CHERRY
EUW1_7906026066,1585,CHERRY
EUW1_7905439761,1777,CHERRY
EUW1_7905042954,1319,CHERRY
EUW1_7905032656,1374,CHERRY
EUW1_7905015001,1418,CHERRY
EUW1_7904819473,1491,CHERRY
EUW1_7904341213,1443,CHERRY
EUW1_7904226103,1543,CHERRY
EUW1_7903822172,1455,CHERRY
EUW1_7906259920,1585,CLASSIC
EUW1_7906228707,2013,CLASSIC
EUW1_7906202707,1952,CLASSIC
EUW1_7905969737,1639,CLASSIC
EUW1_7905932513,1296,CLASSIC
EUW1_7905872652,2034,CLASSIC
EUW1_7905767165,1600,CLASSIC
EUW1_7905466976,1745,CLASSIC
EUW1_7905425299,1413,CLASSIC
EUW1_7906256699,1742,CLASSIC
EUW1_7906233332,1252,CLASSIC
EUW1_7906219079,930,CLASSIC
EUW1_7906190580,928,CLASSIC
EUW1_7905665609,2190,CLASSIC
EUW1_7904376410,1734,CLASSIC
EUW1_7904291191,1909,CLASSIC
EUW1_7904252826,1730,CLASSIC
EUW1_7905859729,930,CLASSIC
EUW1_7905800816,1758,CLASSIC
EUW1_7905736786,2131,CLASSIC
EUW1_7905623404,1680,CLASSIC
EUW1_7905585742,1572,CLASSIC
EUW1_7905357451,1507,CLASSIC
EUW1_7905330119,1763,CLASSIC
EUW1_7905306303,1112,CLASSIC
EUW1_7905778822,1260,CLASSIC
EUW1_7905590376,1356,CLASSIC
EUW1_7905565104,970,CLASSIC
EUW1_7905520907,1798,CLASSIC
EUW1_7905480885,1440,CLASSIC
EUW1_7905505568,1878,CLASSIC
EUW1_7905472728,1400,CLASSIC
EUW1_7905425198,1943,CLASSIC
EUW1_7905393161,1432,CLASSIC
EUW1_7905329119,1662,CLASSIC
EUW1_7905296277,1765,CLASSIC
EUW1_7906236441,2031,CLASSIC
EUW1_7906227824,910,CLASSIC
EUW1_7906198583,2314,CLASSIC
EUW1_7906170793,1890,CLASSIC
EUW1_7906141359,2093,CLASSIC
EUW1_7906132573,1863,CLASSIC
EUW1_7905901874,1463,CLASSIC
EUW1_7903043362,1838,CLASSIC
EUW1_7902815900,1500,CLASSIC
EUW1_7902769260,1221,CLASSIC
EUW1_7902653458,1619,CLASSIC
EUW1_7902602799,1309,CLASSIC
EUW1_7902529241,2277,CLASSIC
EUW1_7902491157,915,CLASSIC
EUW1_7902443455,1393,CLASSIC
EUW1_7902399861,1488,CLASSIC
EUW1_7906269491,1948,CLASSIC
EUW1_7906206861,2333,CLASSIC
EUW1_7906166444,1417,CLASSIC
EUW1_7904814556,1617,CLASSIC
EUW1_7904564429,1522,CLASSIC
EUW1_7904396039,1094,CLASSIC
EUW1_7904367986,1271,CLASSIC
EUW1_7904314547,2367,CLASSIC
EUW1_7904289500,1654,CLASSIC
EUW1_7904259418,1013,CLASSIC
EUW1_7906272091,1289,CHERRY
EUW1_7906126336,1698,CLASSIC
EUW1_7905837417,1642,CHERRY
EUW1_7905480940,1665,CLASSIC
EUW1_7905457687,915,CLASSIC
EUW1_7905413455,1878,CLASSIC
EUW1_7905368299,1591,CLASSIC
EUW1_7905339687,1828,CLASSIC
EUW1_7905579309,1438,CLASSIC
EUW1_7905271019,1607,CLASSIC
EUW1_7904490751,1731,CLASSIC
EUW1_7903870464,1875,CLASSIC
EUW1_7903802014,1894,CLASSIC
EUW1_7903734352,1541,CLASSIC
EUW1_7901943824,1395,CLASSIC
EUW1_7901254436,1748,CLASSIC
EUW1_7906237357,1842,CLASSIC
EUW1_7905403627,1535,CLASSIC
EUW1_7905374167,1133,CLASSIC
EUW1_7905257758,1607,CLASSIC
EUW1_7904436980,1659,CLASSIC
EUW1_7904342778,1736,CLASSIC
EUW1_7904303436,1593,CLASSIC
EUW1_7904277803,1753,CLASSIC
EUW1_7903970385,1600,CLASSIC
EUW1_7903916507,1488,CLASSIC
EUW1_7905923749,1974,CLASSIC
EUW1_7905846208,1663,CLASSIC
EUW1_7905765834,1745,CLASSIC
EUW1_7905690296,2013,CLASSIC
EUW1_7905639942,1475,CLASSIC
EUW1_7905556087,1810,CLASSIC
EUW1_7905538859,77,CLASSIC
EUW1_7905213486,1896,CLASSIC
EUW1_7905190897,1552,CLASSIC
EUW1_7905166362,1468,CLASSIC
EUW1_7906244361,1180,CLASSIC
EUW1_7906214046,1732,CLASSIC
EUW1_7906186415,1618,CLASSIC
EUW1_7905268256,1997,CLASSIC
EUW1_7904985834,1890,CLASSIC
EUW1_7904964480,1436,CLASSIC
EUW1_7904290904,1613,CHERRY
EUW1_7904219823,1581,CLASSIC
EUW1_7904199018,1097,CLASSIC
EUW1_7903596218,1343,CLASSIC
EUW1_7906265160,1593,CLASSIC
EUW1_7906224513,1517,CLASSIC
EUW1_7906177063,1378,CLASSIC
EUW1_7906180521,156,CLASSIC
EUW1_7906162636,1648,CLASSIC
EUW1_7906140308,1794,CLASSIC
EUW1_7904361419,1811,CLASSIC
EUW1_7904343910,1242,CLASSIC
EUW1_7905819040,2118,CLASSIC
EUW1_7905771722,1572,CLASSIC
EUW1_7905714346,1668,CLASSIC
EUW1_7905668166,1498,CLASSIC
EUW1_7904206050,912,CLASSIC
EUW1_7903998477,1536,CHERRY
EUW1_7903975142,1310,CHERRY
EUW1_7903838103,1409,CLASSIC
EUW1_7903795531,1437,CLASSIC
EUW1_7906232014,1775,CLASSIC
EUW1_7906207191,1399,CLASSIC
EUW1_7904596256,1390,CLASSIC
EUW1_7904558293,1439,CLASSIC
EUW1_7904525884,1336,CLASSIC
EUW1_7904336625,1748,CLASSIC
EUW1_7904296450,1633,CLASSIC
EUW1_7904282085,926,CLASSIC
EUW1_7906187199,939,CLASSIC
EUW1_7906169365,1490,CLASSIC
EUW1_7906152135,1414,CLASSIC
EUW1_7906141309,1247,CLASSIC
EUW1_7905987969,1833,CLASSIC
EUW1_7905966558,1459,CLASSIC
EUW1_7905438804,1724,CLASSIC
EUW1_7905399050,1556,CLASSIC
EUW1_7906238607,1175,CLASSIC
EUW1_7906210337,1760,CLASSIC
EUW1_7906195016,1292,CLASSIC
EUW1_7906166165,1286,CLASSIC
EUW1_7906149302,1686,CLASSIC
EUW1_7906135105,1606,CLASSIC
EUW1_7906128657,1596,CLASSIC
EUW1_7906114374,1446,CLASSIC
EUW1_7904871697,1952,CLASSIC
EUW1_7904753268,1146,CLASSIC
EUW1_7904637515,1487,CLASSIC
EUW1_7904591447,1583,CLASSIC
EUW1_7904513858,1770,CLASSIC
EUW1_7904392596,1591,CLASSIC
EUW1_7904359210,1413,CLASSIC
EUW1_7904323187,2281,CLASSIC
EUW1_7904270969,1382,CLASSIC
EUW1_7906177553,1344,CLASSIC
EUW1_7905965418,2249,CLASSIC
EUW1_7905243788,2176,CLASSIC
EUW1_7905208365,2255,CLASSIC
EUW1_7905196837,1407,CLASSIC
EUW1_7905182002,1367,CLASSIC
EUW1_7905170085,1058,CLASSIC
EUW1_7904978265,1954,CLASSIC
EUW1_7904946175,1644,CLASSIC
EUW1_7906271789,1613,CLASSIC
EUW1_7906248603,1797,CLASSIC
EUW1_7906224371,1691,CHERRY
EUW1_7906208094,1357,CHERRY
EUW1_7905749246,1430,CLASSIC
EUW1_7904361013,1569,CLASSIC
EUW1_7904326662,1526,CLASSIC
EUW1_7904295082,1606,CLASSIC
EUW1_7904270278,1532,CLASSIC
EUW1_7906172555,1474,CLASSIC
EUW1_7905766891,1934,CLASSIC
EUW1_7905717352,1453,CLASSIC
EUW1_7905169171,1827,CLASSIC
EUW1_7904781672,1911,CLASSIC
EUW1_7904739183,1204,CLASSIC
EUW1_7904487003,2046,CLASSIC
EUW1_7904457593,1504,CLASSIC
EUW1_7904400253,2135,CLASSIC
EUW1_7905239931,1471,CHERRY
EUW1_7904468344,1571,CLASSIC
EUW1_7904437502,1776,CLASSIC
EUW1_7904411083,946,CLASSIC
EUW1_7904388609,1098,CLASSIC
EUW1_7903943699,911,CLASSIC
EUW1_7903505614,1783,CLASSIC
EUW1_7903456512,2147,CLASSIC
EUW1_7903416350,1344,CLASSIC
EUW1_7902617678,1273,CLASSIC
EUW1_7906019562,910,CLASSIC
EUW1_7905678039,910,CLASSIC
EUW1_7905575191,1946,CLASSIC
EUW1_7905218065,1585,CLASSIC
EUW1_7904845859,1218,CLASSIC
EUW1_7904791365,1645,CLASSIC
EUW1_7904426031,2011,CLASSIC
